Raw file	Experiment	MS/MS	MS/MS Identified	MS/MS Identified [%]	Peptide Sequences Identified
10_1	10_1	53367	1045	1.96	642
10_18	10_18	67058	36628	54.62	24411
11_1	11_1	64832	2061	3.18	1296
11_18	11_18	71382	26796	37.54	16540
12_1	12_1	61094	17571	28.76	10551
12_18	12_18	64638	20574	31.83	10693
13_1	13_1	55647	5946	10.69	3815
13_18	13_18	68017	24562	36.11	14551
14_1	14_1	52756	1667	3.16	1039
14_18	14_18	69994	30008	42.87	18546
15_1	15_1	53496	7349	13.74	4697
15_18	15_18	62987	20869	33.13	12954
16_1	16_1	53996	12399	22.96	7714
16_18	16_18	66342	21895	33	12245
17_1	17_1	58798	2415	4.11	1516
17_18	17_18	73296	42767	58.35	27841
18_1	18_1	58787	14060	23.92	8619
18_18	18_18	76291	25158	32.98	13461
9_1	9_1	52089	1656	3.18	1030
9_18	9_18	71451	33646	47.09	20767
Total		1256318	349072	27.79	212928
