Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity 10_18	Intensity 10_9	Intensity 11_18	Intensity 11_9	Intensity 12_18	Intensity 12_9	Intensity 13_18	Intensity 13_9	Intensity 14_18	Intensity 14_9	Intensity 15_18	Intensity 15_9	Intensity 16_18	Intensity 16_9	Intensity 17_18	Intensity 17_9	Intensity 18_18	Intensity 18_9	Intensity 9_18	Intensity 9_9
Archaea	Superkingdom	Archaea								1491100.0	0.0	2.1117E7	0.0	2523800.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5567800.0
Bacteria	Superkingdom	Bacteria								4.3308513652699994E11	2.941882340950001E11	4.6357671733900006E11	3.717377344089999E11	4.131730594710001E11	2.7344023600499997E11	4.7463336665299976E11	6.9191149125E11	4.61590345744E11	3.94658355337E11	4.4429980464600024E11	3.0622636289000006E11	4.627130336160003E11	2.9190683172E11	4.3557654979800006E11	3.020114578199999E11	4.412207221229998E11	2.359458260279999E11	4.222809922890002E11	2.3395260160399997E11
Deferribacterota	Phylum	Bacteria		Deferribacterota						1868900.0	0.0	1.75586E7	0.0	2363800.0	0.0	7741200.0	0.0	6850200.0	0.0	7552600.0	0.0	0.0	0.0	2.245082E7	0.0	0.0	0.0	0.0	0.0
Proteobacteria	Phylum	Bacteria		Proteobacteria						4.56288016E8	4.1554678133333335E9	2.2153561166666665E9	5.7392771E8	3.918326203333333E8	2.9333169E8	2.6778365333333335E9	2.0837430633333333E9	1.6330687E9	9.623236766666667E8	4.462842015666666E9	4.418479406666667E8	1.78856633E9	2.2074918933333335E9	1.4911433199999998E9	8.433058E8	9.37217342E8	9.473722066666667E8	5.4064473E8	1.268452867E9
Campylobacterota	Phylum	Bacteria		Campylobacterota						1.968556405E9	1.0878619E9	2.75632261E9	1.197912445E9	1.30808041E9	6.5591353E8	1.450946055E9	2.94767202E9	1.423223401E10	1.2248055E9	1.50063889E9	1.075711119E9	1.5938187295E10	2.15934627E9	9.0162848E8	1.5672257E9	1.062755705E9	4.9158835E8	6.0921062E9	1.220893268E9
Verrucomicrobiota	Phylum	Bacteria		Verrucomicrobiota						1.9040341E8	1.7486606E8	1.71702107E9	4.0227196E8	6.6412064E7	2.5582339E7	3.294931E8	2.6356033E8	2.7005386E8	9.947239E7	3.3394282E8	6.265758E7	1.577728E8	4.260124E7	2.5570018E8	1.0338449E8	1.1342451E8	4.602726E7	2.4101088E8	7.64736E7
Actinobacteriota	Phylum	Bacteria		Actinobacteriota						2.991450282666667E9	8.98850866E9	3.645590885E9	1.234873191E10	2.7725686769999995E9	9.9622795E9	2.9273260130000005E9	2.7174501040000004E10	2.1011498966666663E9	1.260277028E10	2.9514805699999995E9	4.239093684E9	2.83729422E9	7.504107569E9	2.104487335E9	1.2521034100000002E9	4.50944146E9	1.604973221E10	2.4989173933333335E9	8.007449185E9
Firmicutes	Phylum	Bacteria		Firmicutes						3.5671339356190475E10	7.346495537233333E10	4.5190372161071434E10	1.0829337025685713E11	8.097293404533333E10	1.29671858142E11	4.281632101610714E10	1.59837253835E11	5.086074382924999E10	1.3669930794033333E11	4.909678310227381E10	1.8083921185600003E11	4.73984118985E10	1.2416499865390477E11	3.7376959040666664E10	7.8447490805E10	9.750337032591666E10	1.3740225360800002E11	5.528215539539285E10	7.40072520915E10
Firmicutes_A	Phylum	Bacteria		Firmicutes_A						1.4724443067227267E11	8.51595125893333E10	1.3736819671940291E11	1.3644564508854285E11	7.504228622205128E10	6.9963994569E10	1.526035846521674E11	1.9490661216500006E11	1.5719599171831143E11	1.1815899965766667E11	1.1192211612723907E11	4.3711090818999985E10	1.2563303244212497E11	6.399073095342855E10	8.895486493993701E10	8.585821962500005E10	9.002772443661536E10	3.6095382194E10	1.3718825767806894E11	6.1888341562999985E10
Spirochaetota	Phylum	Bacteria		Spirochaetota						9.550768251282051E7	1.2783155666666667E8	2.0302161641025642E8	2.924303E7	8.063593933333334E7	6.480828E7	2.527857949897436E9	2.874825666666667E8	8.182705001538461E8	6.3788763333333336E7	1.608890914871795E8	5.3494393333333336E7	7.546668889230769E8	1.0762441666666667E8	7.85557923076923E7	8.4141E7	2.5851805384615384E7	3.6294273333333336E7	3.574246350769231E8	5.965537E7
