Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
10_12	10_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16303	63287	0	87217	39357	0	47860	1394	1131	0	263	1.6	2.87	NaN	0.55	985	1156186	47313	4.09	6227	13.16	74908	25372	24704	33.87	40.48	6960	27.43	+	0.67825	0.87339	0.49022	0.64725	
10_15	10_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15545	82042	0	95132	68952	0	26180	28442	27332	0	1110	29.9	39.64	NaN	4.24	25687	1189643	76688	6.45	2530	3.3	134970	61455	60616	45.53	51.59	6635	10.8	+	0.48276	0.71801	0.34002	0.52938	
11_12	11_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		15479	81246	0	104438	58054	0	46384	14708	13691	0	1017	14.08	23.58	NaN	2.19	11304	1377630	69060	5.01	6709	9.71	109904	43692	42778	39.75	46.93	10723	24.54	+	0.50242	0.73064	0.36713	0.56133	
11_15	11_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16078	74559	0	88309	60809	0	27500	19487	18619	0	868	22.07	30.62	NaN	3.16	17541	940245	69961	7.44	2346	3.35	110831	54083	53111	48.8	55.16	5842	10.8	+	0.47492	0.70995	0.32593	0.51173	
12_12	12_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16423	60179	0	81183	39175	0	42008	5742	5156	0	586	7.07	13.16	NaN	1.39	3546	1589882	46261	2.91	5660	12.23	116528	27069	26307	23.23	27.65	6703	24.76	+	0.48149	0.68207	0.32965	0.49136	
12_15	12_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16101	73248	0	86823	59673	0	27150	23278	22264	0	1014	26.81	37.31	NaN	3.73	20730	953726	68489	7.18	2449	3.58	108695	52801	51841	48.58	55.02	5781	10.95	+	0.46435	0.69897	0.31951	0.50266	
13_12	13_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16075	64598	0	91992	37204	0	54788	1352	1083	0	269	1.47	2.91	NaN	0.49	764	1309669	47689	3.64	6025	12.63	87668	24102	23237	27.49	32.54	6733	27.94	+	0.69165	0.90369	0.48876	0.67402	
13_15	13_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16284	72603	0	85146	60060	0	25086	23051	22016	0	1035	27.07	36.66	NaN	4.13	20760	959732	68396	7.13	2223	3.25	110653	53642	52773	48.48	54.47	5642	10.52	+	0.47129	0.70074	0.32164	0.49923	
14_12	14_12	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16693	60540	0	84419	36661	0	47758	996	848	0	148	1.18	2.31	NaN	0.31	513	1188464	44269	3.72	5883	13.29	75662	22807	22192	30.14	35.82	6718	29.46	+	0.70095	0.90398	0.51306	0.68281	
14_15	14_15	0	Trypsin	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		16501	71184	0	85697	56671	0	29026	19691	18694	0	997	22.98	32.99	NaN	3.43	17211	954680	66017	6.92	2728	4.13	104137	49581	48589	47.61	54.16	5867	11.83	+	0.47925	0.71341	0.32395	0.50707	
